type,background,valence£¨1_reward£¬2_punish),best_choice
1,1,1,0.37
1,1,1,0.56
1,1,1,0.43
1,1,1,0.5
1,1,1,0.33
1,1,1,0.47
1,1,1,0.39
1,1,1,0.45
1,1,1,0.58
1,1,1,0.37
1,1,1,0.4
1,1,1,0.37
1,1,1,0.47
1,1,1,0.41
1,1,1,0.49
1,1,1,0.33
1,1,1,0.59
1,1,1,0.56
1,1,1,0.5
1,1,1,0.42
1,1,1,0.41
1,1,1,0.34
1,1,1,0.46
1,1,1,0.43
1,1,1,0.47
1,1,1,0.5
1,1,1,0.5
1,1,1,0.32
1,1,1,0.47
1,1,1,0.38
1,1,1,0.2
1,1,1,0.37
1,1,1,0.31
1,1,1,0.29
1,1,1,0.3
1,1,1,0.3
1,1,1,0.29
1,1,1,0.4
1,1,1,0.3
1,2,1,0.39
1,2,1,0.38
1,2,1,0.47
1,2,1,0.36
1,2,1,0.29
1,2,1,0.31
1,2,1,0.37
1,2,1,0.33
1,2,1,0.28
1,2,1,0.32
1,2,1,0.32
1,2,1,0.35
1,2,1,0.24
1,2,1,0.4
1,2,1,0.44
1,2,1,0.31
1,2,1,0.35
1,2,1,0.33
1,2,1,0.33
1,2,1,0.45
1,2,1,0.35
1,2,1,0.38
1,2,1,0.39
1,2,1,0.48
1,2,1,0.4
1,2,1,0.26
1,2,1,0.31
1,2,1,0.4
1,2,1,0.52
1,2,1,0.48
1,2,1,0.34
1,2,1,0.26
1,2,1,0.28
1,2,1,0.35
1,2,1,0.36
1,2,1,0.32
1,2,1,0.22
1,2,1,0.35
1,2,1,0.38
1,2,1,0.5
1,2,1,0.43
1,2,1,0.38
2,1,1,0.42
2,1,1,0.49
2,1,1,0.4
2,1,1,0.39
2,1,1,0.4
2,1,1,0.54
2,1,1,0.42
2,1,1,0.5
2,1,1,0.44
2,1,1,0.44
2,1,1,0.5
2,1,1,0.53
2,1,1,0.4
2,1,1,0.34
2,1,1,0.62
2,1,1,0.5
2,1,1,0.41
2,1,1,0.48
2,1,1,0.41
2,1,1,0.44
2,1,1,0.35
2,1,1,0.45
2,1,1,0.42
2,1,1,0.34
2,1,1,0.34
2,1,1,0.37
2,1,1,0.31
2,1,1,0.35
2,1,1,0.33
2,1,1,0.33
2,1,1,0.3
2,1,1,0.4
2,1,1,0.42
2,1,1,0.33
2,1,1,0.42
2,1,1,0.31
2,1,1,0.28
2,1,1,0.29
2,1,1,0.41
2,1,1,0.41
2,1,1,0.34
2,2,1,0.34
2,2,1,0.36
2,2,1,0.39
2,2,1,0.4
2,2,1,0.38
2,2,1,0.28
2,2,1,0.38
2,2,1,0.5
2,2,1,0.36
2,2,1,0.42
2,2,1,0.38
2,2,1,0.36
2,2,1,0.38
2,2,1,0.46
2,2,1,0.38
2,2,1,0.21
2,2,1,0.34
2,2,1,0.36
2,2,1,0.32
2,2,1,0.26
2,2,1,0.36
2,2,1,0.32
2,2,1,0.35
2,2,1,0.36
2,2,1,0.29
2,2,1,0.26
2,2,1,0.31
2,2,1,0.29
2,2,1,0.31
2,2,1,0.37
2,2,1,0.47
2,2,1,0.28
2,2,1,0.37
2,2,1,0.35
2,2,1,0.33
2,2,1,0.43
2,2,1,0.3
2,2,1,0.37
2,2,1,0.41
2,2,1,0.44
2,2,1,0.33
2,2,1,0.41
2,2,1,0.4
2,2,1,0.26
2,2,1,0.48
1,1,2,0.34
1,1,2,0.47
1,1,2,0.43
1,1,2,0.5
1,1,2,0.28
1,1,2,0.41
1,1,2,0.34
1,1,2,0.32
1,1,2,0.37
1,1,2,0.35
1,1,2,0.34
1,1,2,0.29
1,1,2,0.39
1,1,2,0.35
1,1,2,0.37
1,1,2,0.4
1,1,2,0.43
1,1,2,0.47
1,1,2,0.37
1,1,2,0.32
1,1,2,0.3
1,1,2,0.36
1,1,2,0.36
1,1,2,0.34
1,1,2,0.29
1,1,2,0.43
1,1,2,0.38
1,1,2,0.47
1,1,2,0.35
1,1,2,0.52
1,1,2,0.41
1,1,2,0.53
1,1,2,0.3
1,1,2,0.43
1,1,2,0.43
1,1,2,0.4
1,1,2,0.48
1,1,2,0.25
1,1,2,0.4
1,2,2,0.44
1,2,2,0.46
1,2,2,0.43
1,2,2,0.42
1,2,2,0.34
1,2,2,0.36
1,2,2,0.46
1,2,2,0.43
1,2,2,0.39
1,2,2,0.48
1,2,2,0.34
1,2,2,0.38
1,2,2,0.52
1,2,2,0.47
1,2,2,0.35
1,2,2,0.4
1,2,2,0.45
1,2,2,0.38
1,2,2,0.47
1,2,2,0.41
1,2,2,0.47
1,2,2,0.48
1,2,2,0.41
1,2,2,0.46
1,2,2,0.3
1,2,2,0.09
1,2,2,0.29
1,2,2,0.34
1,2,2,0.43
1,2,2,0.33
1,2,2,0.5
1,2,2,0.35
1,2,2,0.39
1,2,2,0.38
1,2,2,0.32
1,2,2,0.36
1,2,2,0.44
1,2,2,0.47
1,2,2,0.32
1,2,2,0.33
1,2,2,0.37
1,2,2,0.39
2,1,2,0.34
2,1,2,0.35
2,1,2,0.3
2,1,2,0.3
2,1,2,0.28
2,1,2,0.32
2,1,2,0.43
2,1,2,0.37
2,1,2,0.37
2,1,2,0.36
2,1,2,0.25
2,1,2,0.39
2,1,2,0.43
2,1,2,0.34
2,1,2,0.36
2,1,2,0.5
2,1,2,0.39
2,1,2,0.28
2,1,2,0.35
2,1,2,0.44
2,1,2,0.31
2,1,2,0.25
2,1,2,0.34
2,1,2,0.37
2,1,2,0.45
2,1,2,0.6
2,1,2,0.54
2,1,2,0.3
2,1,2,0.36
2,1,2,0.41
2,1,2,0.42
2,1,2,0.37
2,1,2,0.32
2,1,2,0.45
2,1,2,0.45
2,1,2,0.47
2,1,2,0.32
2,1,2,0.5
2,1,2,0.26
2,1,2,0.36
2,1,2,0.41
2,2,2,0.5
2,2,2,0.52
2,2,2,0.39
2,2,2,0.36
2,2,2,0.46
2,2,2,0.25
2,2,2,0.33
2,2,2,0.39
2,2,2,0.3
2,2,2,0.5
2,2,2,0.5
2,2,2,0.44
2,2,2,0.37
2,2,2,0.34
2,2,2,0.45
2,2,2,0.39
2,2,2,0.31
2,2,2,0.32
2,2,2,0.43
2,2,2,0.35
2,2,2,0.45
2,2,2,0.25
2,2,2,0.36
2,2,2,0.31
2,2,2,0.47
2,2,2,0.44
2,2,2,0.47
2,2,2,0.35
2,2,2,0.39
2,2,2,0.39
2,2,2,0.25
2,2,2,0.39
2,2,2,0.51
2,2,2,0.49
2,2,2,0.33
2,2,2,0.38
2,2,2,0.45
2,2,2,0.4
2,2,2,0.37
2,2,2,0.36
2,2,2,0.38
2,2,2,0.29
2,2,2,0.37
2,2,2,0.28
2,2,2,0.29
