type,background,emotion
1,1,70
1,1,80
1,1,80
1,1,60
1,1,80
1,1,0
1,1,60
1,1,70
1,1,70
1,1,50
1,1,5
1,1,80
1,1,80
1,1,99
1,1,80
1,1,10
1,1,80
1,1,80
1,1,80
1,1,90
1,1,80
1,1,80
1,1,70
1,1,0
1,1,50
1,1,50
1,1,80
1,1,0
1,1,20
1,1,0
1,1,30
1,1,15
1,1,0
1,1,20
1,1,0
1,1,20
1,1,35
1,1,0
1,1,15
1,2,90
1,2,100
1,2,60
1,2,100
1,2,0
1,2,60
1,2,90
1,2,50
1,2,5
1,2,100
1,2,100
1,2,99
1,2,100
1,2,90
1,2,100
1,2,100
1,2,70
1,2,100
1,2,90
1,2,0
1,2,50
1,2,50
1,2,100
1,2,90
1,2,40
1,2,30
1,2,0
1,2,60
1,2,30
1,2,20
1,2,10
1,2,50
1,2,25
1,2,45
1,2,40
1,2,30
1,2,70
1,2,20
1,2,50
1,2,25
1,2,30
1,2,40
2,1,50
2,1,70
2,1,25
2,1,50
2,1,80
2,1,35
2,1,70
2,1,60
2,1,5
2,1,10
2,1,70
2,1,85
2,1,70
2,1,50
2,1,20
2,1,60
2,1,50
2,1,75
2,1,40
2,1,40
2,1,100
2,1,60
2,1,70
2,1,30
2,1,50
2,1,35
2,1,20
2,1,70
2,1,65
2,1,10
2,1,30
2,1,60
2,1,85
2,1,40
2,1,30
2,1,20
2,1,20
2,1,50
2,1,25
2,1,10
2,1,30
2,2,50
2,2,70
2,2,50
2,2,80
2,2,35
2,2,10
2,2,60
2,2,5
2,2,10
2,2,70
2,2,85
2,2,70
2,2,50
2,2,20
2,2,60
2,2,50
2,2,70
2,2,75
2,2,40
2,2,40
2,2,100
2,2,60
2,2,60
2,2,70
2,2,30
2,2,50
2,2,60
2,2,70
2,2,85
2,2,80
2,2,60
2,2,90
2,2,45
2,2,60
2,2,70
2,2,50
2,2,90
2,2,40
2,2,85
2,2,50
2,2,60
2,2,85
2,2,60
2,2,75
2,2,60
